"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport"
"139",2018-08-19,"Berks","PA",1,2018,231,"11/7/2017"
"140",2018-08-21,"Chester","PA",1,2018,233,"11/7/2017"
"141",2018-08-22,"Montgomery","PA",1,2018,234,"11/7/2017"
"142",2018-08-23,"Lehigh","PA",1,2018,235,"11/7/2017"
"143",2018-08-25,"Lehigh","PA",1,2018,237,"11/7/2017"
"144",2018-08-25,"Lehigh","PA",1,2018,237,"11/7/2017"
"145",2018-08-25,"Philadelphia","PA",1,2018,237,"11/7/2017"
"146",2018-08-28,"Montgomery","PA",1,2018,240,"11/7/2017"
"147",2018-08-16,"Montgomery","PA",1,2018,228,"11/7/2017"
"148",2018-08-26,"Montgomery","PA",1,2018,238,"11/7/2017"
"149",2018-08-26,"Montgomery","PA",1,2018,238,"11/7/2017"
"150",2018-08-23,"Montgomery","PA",1,2018,235,"11/7/2017"
"151",2018-08-27,"Chester","PA",1,2018,239,"11/7/2017"
"152",2018-08-28,"Montgomery","PA",1,2018,240,"11/7/2017"
"153",2018-08-18,"Berks","PA",1,2018,230,"11/7/2017"
"154",2018-08-29,"Montgomery","PA",1,2018,241,"11/7/2017"
"155",2018-08-29,"Northampton","PA",1,2018,241,"11/7/2017"
"156",2018-08-30,"Northampton","PA",1,2018,242,"11/7/2017"
"157",2018-08-30,"Lehigh","PA",1,2018,242,"11/7/2017"
"158",2018-08-24,"Montgomery","PA",1,2018,236,"11/7/2017"
"159",2018-09-01,"Chester","PA",1,2018,244,"11/7/2017"
"160",2018-09-01,"Northampton","PA",1,2018,244,"11/7/2017"
"161",2018-09-01,"Montgomery","PA",1,2018,244,"11/7/2017"
"162",2018-09-01,"Lehigh","PA",1,2018,244,"11/7/2017"
"163",2018-09-01,"Centre","PA",1,2018,244,"11/7/2017"
"164",2017-07-15,"Lebanon","PA",1,2017,196,"11/7/2017"
"165",2018-09-02,"Montgomery","PA",1,2018,245,"11/7/2017"
"166",2018-08-26,"Chester","PA",1,2018,238,"11/7/2017"
"167",2018-09-03,"Washington","PA",1,2018,246,"11/7/2017"
"168",2018-09-03,"Bucks","PA",1,2018,246,"11/7/2017"
"169",2018-09-04,"Montgomery","PA",1,2018,247,"11/7/2017"
"170",2018-09-05,"Montgomery","PA",1,2018,248,"11/7/2017"
"171",2018-09-02,"Lehigh","PA",1,2018,245,"11/7/2017"
"172",2018-09-06,"Northampton","PA",1,2018,249,"11/7/2017"
"173",2018-09-07,"Berks","PA",1,2018,250,"11/7/2017"
"174",2018-09-07,"Lehigh","PA",1,2018,250,"11/7/2017"
"175",2018-09-07,"Montgomery","PA",1,2018,250,"11/7/2017"
"176",2018-09-08,"Berks","PA",1,2018,251,"11/7/2017"
"177",2018-09-08,"Lancaster","PA",1,2018,251,"11/7/2017"
"178",2018-09-08,"Lancaster","PA",1,2018,251,"11/7/2017"
"179",2018-09-08,"Lancaster","PA",1,2018,251,"11/7/2017"
"180",2018-09-08,"Northampton","PA",1,2018,251,"11/7/2017"
"181",2018-09-08,"Berks","PA",1,2018,251,"11/7/2017"
"182",2018-09-08,"Berks","PA",1,2018,251,"11/7/2017"
"183",2018-09-07,"Northampton","PA",1,2018,250,"11/7/2017"
"184",2018-09-08,"Lehigh","PA",1,2018,251,"11/7/2017"
"185",2018-09-08,"Chester","PA",1,2018,251,"11/7/2017"
"186",2018-09-05,"Lehigh","PA",1,2018,248,"11/7/2017"
"187",2018-09-01,"Berks","PA",1,2018,244,"11/7/2017"
"188",2018-09-12,"Montgomery","PA",1,2018,255,"11/7/2017"
"189",2018-09-13,"Montgomery","PA",1,2018,256,"11/7/2017"
"190",2018-09-13,"Montgomery","PA",1,2018,256,"11/7/2017"
"191",2018-09-13,"Bucks","PA",1,2018,256,"11/7/2017"
"192",2018-09-13,"Bucks","PA",1,2018,256,"11/7/2017"
"193",2018-09-14,"Berks","PA",1,2018,257,"11/7/2017"
"194",2018-09-15,"Berks","PA",1,2018,258,"11/7/2017"
"195",2018-09-15,"Lancaster","PA",1,2018,258,"11/7/2017"
"196",2018-09-15,"Lancaster","PA",1,2018,258,"11/7/2017"
"197",2018-09-15,"Lancaster","PA",1,2018,258,"11/7/2017"
"198",2018-09-15,"Chester","PA",1,2018,258,"11/7/2017"
"199",2018-09-15,"Chester","PA",1,2018,258,"11/7/2017"
"200",2018-09-15,"Chester","PA",1,2018,258,"11/7/2017"
"201",2018-09-16,"Cumberland","PA",1,2018,259,"11/7/2017"
"202",2018-09-16,"Bucks","PA",1,2018,259,"11/7/2017"
"203",2018-09-16,"Lehigh","PA",1,2018,259,"11/7/2017"
"204",2018-09-16,"Berks","PA",1,2018,259,"11/7/2017"
"205",2018-09-16,"Chester","PA",1,2018,259,"11/7/2017"
"206",2018-09-17,"Northampton","PA",1,2018,260,"11/7/2017"
"207",2018-09-17,"Montgomery","PA",1,2018,260,"11/7/2017"
"208",2018-09-17,"Northampton","PA",1,2018,260,"11/7/2017"
"209",2018-09-14,"Northampton","PA",1,2018,257,"11/7/2017"
"210",2018-09-18,"Lehigh","PA",1,2018,261,"11/7/2017"
"211",2018-09-18,"Northampton","PA",1,2018,261,"11/7/2017"
"212",2018-09-18,"Lehigh","PA",1,2018,261,"11/7/2017"
"213",2018-09-19,"Northampton","PA",1,2018,262,"11/7/2017"
"214",2018-09-19,"Chester","PA",1,2018,262,"11/7/2017"
"215",2018-09-19,"Chester","PA",1,2018,262,"11/7/2017"
"216",2018-09-19,"Chester","PA",1,2018,262,"11/7/2017"
"217",2018-09-19,"Montgomery","PA",1,2018,262,"11/7/2017"
"218",2018-09-19,"Montgomery","PA",1,2018,262,"11/7/2017"
"219",2018-08-30,"Northampton","PA",1,2018,242,"11/7/2017"
"220",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"221",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"222",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"223",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"224",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"225",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"226",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
